=== GERIATRIC WITHIN-SUBJECTS USABILITY STUDY DATASET (N=16 Older Adults, Ages 61-76) ===
Participant_ID,Age,Gender,Prescription_Glasses,Mild_Hand_Tremor,Counterbalance_Sequence,Grid_Task1_Time_sec,Grid_Task2_Time_sec,Grid_Task3_Time_sec,Grid_Total_Time_sec,Grid_Errors,Grid_SEQ_Score,Grid_SUS_Score,Radial_Task1_Time_sec,Radial_Task2_Time_sec,Radial_Task3_Time_sec,Radial_Total_Time_sec,Radial_Errors,Radial_SEQ_Score,Radial_SUS_Score
P01,68,Female,Yes,No,Grid-First (AB),6.6,7.1,10.2,23.9,1,6,75.8,15.6,16.8,19.5,51.9,4,5,54.9
P02,72,Male,Yes,Yes,Radial-First (BA),4.4,5.7,8.2,18.3,0,5,91.7,9.2,18.0,20.6,47.8,2,3,59.4
P03,64,Female,No,No,Grid-First (AB),5.3,10.7,15.4,31.4,1,5,89.2,11.4,10.6,13.2,35.2,3,4,35.4
P04,75,Male,Yes,Yes,Radial-First (BA),7.4,5.9,8.4,21.7,2,7,85.5,10.6,13.7,15.6,39.9,2,4,68.4
P05,61,Female,No,No,Grid-First (AB),6.8,6.5,9.4,22.7,1,7,97.5,5.9,8.4,9.5,23.8,0,6,46.9
P06,70,Male,Yes,No,Radial-First (BA),2.1,9.2,13.2,24.5,0,6,90.1,9.0,11.5,13.9,34.4,1,5,68.4
P07,76,Female,Yes,Yes,Grid-First (AB),5.3,4.7,6.7,16.7,1,7,89.0,12.7,7.0,7.4,27.1,3,5,58.1
P08,66,Male,Yes,No,Radial-First (BA),3.5,5.3,7.6,16.4,0,5,74.9,7.0,9.2,10.1,26.3,1,5,41.2
P09,63,Female,No,No,Grid-First (AB),3.5,6.7,9.6,19.8,0,6,68.5,14.4,15.8,18.2,48.4,4,4,45.3
P10,71,Male,Yes,No,Radial-First (BA),4.4,5.7,8.2,18.3,0,7,81.7,6.1,13.8,15.7,35.6,0,3,42.1
P11,67,Female,Yes,No,Grid-First (AB),3.9,4.2,6.0,14.1,0,6,74.0,9.4,9.9,10.6,29.9,2,4,60.6
P12,74,Male,Yes,Yes,Radial-First (BA),6.1,6.0,8.6,20.7,1,6,70.1,11.0,10.1,11.4,32.5,2,4,74.8
P13,62,Female,No,No,Grid-First (AB),5.0,5.7,8.2,18.9,0,7,103.8,14.0,11.2,12.6,37.8,4,2,77.5
P14,69,Male,Yes,No,Radial-First (BA),3.9,7.4,10.6,21.9,0,7,78.3,12.8,12.5,14.6,39.9,3,5,56.7
P15,65,Female,Yes,No,Grid-First (AB),4.4,3.4,4.8,12.6,0,7,84.5,10.1,11.8,12.6,34.5,2,4,54.4
P16,73,Female,Yes,No,Radial-First (BA),4.3,5.1,7.3,16.7,0,6,80.5,10.5,8.3,8.9,27.7,2,4,70.9

=== OEM ALARM DELIVERY LATENCY BENCHMARK DATASET (100 Test Alarms) ===
Test_ID,Device_Model,Android_Version,Battery_Saver_Mode,Scheduled_Time,Actual_Trigger_Time,Latency_Seconds,Delivery_Status
T029,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:02,2.6,ON_TIME (<=5s)
T030,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:01,1.8,ON_TIME (<=5s)
T031,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:02,2.2,ON_TIME (<=5s)
T032,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:02,2.6,ON_TIME (<=5s)
T033,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:01,1.8,ON_TIME (<=5s)
T034,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:02,2.2,ON_TIME (<=5s)
T035,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:02,2.6,ON_TIME (<=5s)
T036,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:01,1.8,ON_TIME (<=5s)
T037,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:02,2.2,ON_TIME (<=5s)
T038,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:02,2.6,ON_TIME (<=5s)
T039,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:01,1.8,ON_TIME (<=5s)
T040,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:02,2.2,ON_TIME (<=5s)
T041,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:04,4.5,ON_TIME (<=5s)
T042,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:04,4.9,ON_TIME (<=5s)
T043,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:05,5.3,ON_TIME (<=5s)
T044,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:04,4.5,ON_TIME (<=5s)
T045,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:04,4.9,ON_TIME (<=5s)
T046,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:05,5.3,ON_TIME (<=5s)
T047,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:04,4.5,ON_TIME (<=5s)
T048,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:04,4.9,ON_TIME (<=5s)
T049,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:05,5.3,ON_TIME (<=5s)
T050,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:04,4.5,ON_TIME (<=5s)
T051,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:04,4.9,ON_TIME (<=5s)
T052,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:05,5.3,ON_TIME (<=5s)
T053,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:04,4.5,ON_TIME (<=5s)
T054,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:04,4.9,ON_TIME (<=5s)
T055,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:05,5.3,ON_TIME (<=5s)
T056,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:04,4.5,ON_TIME (<=5s)
T057,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:04,4.9,ON_TIME (<=5s)
T058,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:05,5.3,ON_TIME (<=5s)
T059,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:04,4.5,ON_TIME (<=5s)
T060,Xiaomi Redmi Note 8T,Android 13,ENABLED,14:00:00,14:00:68,68.4,DELAYED (>1m)
T061,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:01,1.5,ON_TIME (<=5s)
T062,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:01,1.9,ON_TIME (<=5s)
T063,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:02,2.3,ON_TIME (<=5s)
T064,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:01,1.5,ON_TIME (<=5s)
T065,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:01,1.9,ON_TIME (<=5s)
T066,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:02,2.3,ON_TIME (<=5s)
T067,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:01,1.5,ON_TIME (<=5s)
T068,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:01,1.9,ON_TIME (<=5s)
T069,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:02,2.3,ON_TIME (<=5s)
T070,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:01,1.5,ON_TIME (<=5s)
T071,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:01,1.9,ON_TIME (<=5s)
T072,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:02,2.3,ON_TIME (<=5s)
T073,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:01,1.5,ON_TIME (<=5s)
T074,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:01,1.9,ON_TIME (<=5s)
T075,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:02,2.3,ON_TIME (<=5s)
T076,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:01,1.5,ON_TIME (<=5s)
T077,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:01,1.9,ON_TIME (<=5s)
T078,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:02,2.3,ON_TIME (<=5s)
T079,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:01,1.5,ON_TIME (<=5s)
T080,OnePlus 10 Pro,Android 13,ENABLED,14:00:00,14:00:01,1.9,ON_TIME (<=5s)
T081,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.1,ON_TIME (<=5s)
T082,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.5,ON_TIME (<=5s)
T083,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.9,ON_TIME (<=5s)
T084,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.1,ON_TIME (<=5s)
T085,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.5,ON_TIME (<=5s)
T086,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.9,ON_TIME (<=5s)
T087,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.1,ON_TIME (<=5s)
T088,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.5,ON_TIME (<=5s)
T089,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.9,ON_TIME (<=5s)
T090,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.1,ON_TIME (<=5s)
T091,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.5,ON_TIME (<=5s)
T092,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.9,ON_TIME (<=5s)
T093,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.1,ON_TIME (<=5s)
T094,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.5,ON_TIME (<=5s)
T095,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.9,ON_TIME (<=5s)
T096,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.1,ON_TIME (<=5s)
T097,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.5,ON_TIME (<=5s)
T098,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.9,ON_TIME (<=5s)
T099,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.1,ON_TIME (<=5s)
T100,Motorola G Power,Android 12,ENABLED,14:00:00,14:00:02,2.5,ON_TIME (<=5s)
